"","x"
"1","t1_.rol_play_count_pg_def_l3_diffl20"
"2","t2_.rol_play_count_pg_def_l3_diffl20"
"3","t2_rol_record_l3_diffl20"
"4","t2_.rol_play_count_pg_off_l20"
"5","t1_.rol_play_count_pg_off_l3_diffl20"
"6","t1_.rol_play_count_pg_off_l20"
"7","t1_.rol_play_count_pg_def_l20"
"8","t1_rol_pf_pg_ha_l20"
"9","t2_.rol_play_count_pg_def_l20"
"10","t1_.rol_turnover_pg_def_l20_oa"
"11","t1_.rol_pass_success_pp_def_l3_oa_diffl20"
"12","t2_.rol_pass_wpa_pp_def_l3_oa"
"13","t2_.rol_pass_EPA_pp_def_l1"
"14","t1_.rol_pass_pp_def_l3"
"15","t1_rol_record_l3_diffl20"
"16","t1_rol_pa_pg_l3_diffl20"
"17","t1_.rol_pass_wpa_pp_def_l3_oa"
"18","t2_.rol_pass_pp_def_l1"
"19","t2_rol_pf_pg_ha_l20_oa"
"20","t2_rol_spr_err_l20"
"21","t2_.rol_play_count_pg_off_l3_diffl20"
"22","t1_.rol_pass_EPA_pp_off_l20"
"23","t2_rol_pf_pg_l20"
"24","t1_.rol_run_success_pp_off_l3_oa_diffl20"
"25","t1_.rol_pass_success_pp_def_l20_oa"
"26","t2_.rol_sack_pg_def_l20"
"27","t1_.rol_pass_EPA_pp_def_l1"
"28","t1_rol_spr_err_l20"
"29","t1_elo"
"30","t1_.rol_run_success_pp_def_l3_oa_diffl20"
"31","t1_.rol_pass_wpa_pp_def_l20_oa"
"32","t1_.rol_sack_pg_def_l20"
"33","t2_.rol_pass_EPA_pp_off_l3_oa"
"34","t2_.rol_turnover_pg_off_l20"
"35","t2_.rol_pass_success_pp_def_l3_oa_diffl20"
"36","t2_.rol_run_success_pp_def_l3_oa"
"37","t2_.rol_run_wpa_pp_off_l20_oa"
"38","t2_.rol_sack_pg_def_l3_oa_diffl20"
"39","t2_.rol_pass_success_pp_def_l3"
"40","t1_.rol_punt_pg_off_l3_diffl20"
"41","t1_.rol_turnover_pg_off_l20"
"42","t2_.rol_play_count_pg_def_l1_oa"
"43","t1_.rol_run_success_pp_off_l20"
"44","t2_rol_pf_pg_l3_oa"
"45","t1_.rol_run_wpa_pp_off_l3_oa"
"46","t2_.rol_run_EPA_pp_def_l1_oa"
"47","t1_rol_spr_err_l3"
"48","t2_rol_pf_pg_ha_l20"
"49","t2_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"50","t2_.rol_pass_success_pp_off_l1_oa"
"51","t2_.rol_pass_success_pp_def_l3_oa"
"52","t2_rol_pa_pg_l3_diffl20"
"53","t1_.rol_pass_pp_def_l20_oa"
"54","t1_rol_pf_pg_l20"
"55","t1_rol_pa_pg_l3_oa"
"56","t2_elo"
"57","t1_rol_pf_pg_l3_oa"
"58","t2_.rol_run_wpa_pp_def_l3"
"59","t1_.rol_pass_pp_off_l3"
"60","t1_.rol_EPA_pp_def_l3_oa_diffl20"
"61","t2_rol_opp_elo_l20"
"62","t1_.rol_sack_pg_off_l20_oa"
"63","t2_.rol_run_EPA_pp_off_l3_oa_diffl20"
"64","t2_.rol_run_success_pp_off_l3"
"65","t1_.rol_run_EPA_pp_off_l3_oa"
"66","t1_.rol_success_pp_def_l20_oa"
"67","t1_.rol_run_EPA_pp_off_l1_oa"
"68","t2_.rol_touchdown_pg_def_l3_diffl20"
"69","t1_rol_opp_talent_l3"
"70","t2_.rol_success_pp_def_l20"
"71","t1_.rol_run_success_pp_off_l3_diffl20"
"72","t1_.rol_pass_pp_def_l3_oa_diffl20"
"73","t1_.rol_pass_success_pp_def_l3_oa"
"74","t1_.rol_pass_wpa_pp_def_l1_oa"
"75","t2_.rol_pass_wpa_pp_def_l20_oa"
"76","t2_rol_ou_err_l3"
"77","t2_rol_opp_talent_l20"
"78","t2_.rol_play_count_pg_def_l20_oa"
"79","t2_.rol_run_wpa_pp_off_l3_oa"
"80","t2_.rol_pass_EPA_pp_def_l1_oa"
"81","t2_.rol_punt_pg_off_l3_oa_diffl20"
"82","t1_.rol_success_pp_off_l1"
"83","t1_.rol_punt_pg_def_l3_oa_diffl20"
"84","t2_rol_pa_pg_l1_oa"
"85","t2_.rol_turnover_pg_def_l20"
"86","t1_.rol_run_EPA_pp_def_l20_oa"
"87","t2_.rol_success_pp_def_l3_oa_diffl20"
"88","t1_.rol_turnover_pg_off_l20_oa"
"89","t2_.rol_success_pp_off_l1_oa"
"90","t2_.rol_run_success_pp_off_l20_oa"
"91","t1_.rol_run_success_pp_def_l3"
"92","t1_.rol_EPA_pp_def_l1"
"93","t2_.rol_success_pp_off_l20"
"94","t2_.rol_pass_EPA_pp_def_l3_oa"
"95","t2_rol_record_l3_oa_diffl20"
"96","t1_.rol_pass_EPA_pp_def_l20"
"97","t2_.rol_pass_pp_off_l1_oa"
"98","t1_.rol_run_wpa_pp_def_l20_oa"
"99","t1_.rol_run_EPA_pp_def_l3_diffl20"
"100","t1_.rol_pass_pp_off_l20_oa"
"101","t1_.rol_run_wpa_pp_def_l3_oa"
"102","t2_rol_pa_pg_l3_oa_diffl20"
"103","t2_.rol_EPA_pp_def_l3_oa_diffl20"
"104","t1_.rol_run_success_pp_def_l1"
"105","t2_.rol_run_wpa_pp_off_l1_oa"
"106","t2_.rol_pass_EPA_pp_off_l20"
"107","t2_.rol_pass_success_pp_off_l3"
"108","t1_.rol_run_success_pp_def_l3_oa"
"109","t2_.rol_run_EPA_pp_off_l3"
"110","t1_.rol_wpa_pp_def_l1_oa"
"111","t1_.rol_play_count_pg_def_l20_oa"
"112","t2_.rol_pass_pp_def_l20_oa"
"113","t2_talent"
