"","actual_t1_cover","game_id","t1_team","t2_team","pred_t1_cp","pred_t1_cover","actual_t1_win","pred_t1_wp","pred_t1_win","actual_over","pred_op","pred_over","t1_book_spread","book_over_under","week","season","t1_home","neutral_site","t1_conference","t2_conference","t1_moneyline","t2_moneyline","spread_correct","spread_winnings","naive_spread_winnings","cover_confidence","t1_ml_prob","t2_ml_prob","pred_t1_ml_value","pred_t2_ml_value","pred_t1_ml_bet","pred_t2_ml_bet","ml_correct","ml_winnings","naive_ml_winnings","ml_value","ou_correct","ou_winnings","naive_ou_winnings","ou_confidence"
"1",1,401282811,"Ohio State","Akron",0.4744,0,1,0.753,1,0,0.4917,0,-48.5,66.5,4,2021,1,0,"Big Ten","Mid-American",NA,NA,0,0,0.954545454545455,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.90909090909091,0.954545454545455,0.00829999999999997
"2",0,401309859,"Oregon","Arizona",0.5279,1,1,0.7365,1,1,0.5479,1,-29.5,59,4,2021,1,0,"Pac-12","Pac-12",-6500,1325,0,0,0.954545454545455,0.0279,0.984848484848485,0.0701754385964912,-0.248348484848485,0.193324561403509,0,1,0,0,0.507692307692308,0.193324561403509,1,1.90909090909091,0.954545454545455,0.0479000000000001
"3",0,401282082,"Texas A&M","Arkansas",0.3596,0,0,0.5966,1,0,0.5269,1,-4.5,47,4,2021,0,1,"SEC","SEC",-195,165,1,1.90909090909091,0.954545454545455,0.1404,0.661016949152542,0.377358490566038,-0.0644169491525424,0.0260415094339622,0,1,1,2.65,1.325,0.0260415094339622,0,0,0.954545454545455,0.0269
"4",0,401301011,"Tulsa","Arkansas State",0.5755,1,1,0.7115,1,1,0.3954,0,-14.5,65,4,2021,1,0,"American Athletic","Sun Belt",-665,450,0,0,0.954545454545455,0.0755,0.869281045751634,0.181818181818182,-0.157781045751634,0.106681818181818,0,1,0,0,0.575187969924812,0.106681818181818,0,0,0.954545454545455,0.1046
"5",0,401310706,"Utah State","Boise State",0.6131,1,0,0.3932,0,0,0.4529,0,9.5,69.5,4,2021,1,0,"Mountain West","Mountain West",280,-360,0,0,0.954545454545455,0.1131,0.263157894736842,0.782608695652174,0.130042105263158,-0.175808695652174,1,0,0,0,0.638888888888889,0.130042105263158,1,1.90909090909091,0.954545454545455,0.0471
"6",0,401282792,"Minnesota","Bowling Green",0.5503,1,0,0.7399,1,0,0.5747,1,-30.5,51,4,2021,1,0,"Big Ten","Mid-American",NA,NA,0,0,0.954545454545455,0.0503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.954545454545455,0.0747
"7",1,401282209,"Old Dominion","Buffalo",0.5857,1,0,0.3472,0,1,0.3637,0,13,50.5,4,2021,1,0,"Conference USA","Mid-American",390,-545,1,1.90909090909091,0.954545454545455,0.0857,0.204081632653061,0.844961240310077,0.143118367346939,-0.192161240310077,1,0,0,0,0.591743119266055,0.143118367346939,0,0,0.954545454545455,0.1363
"8",0,401309857,"Washington","California",0.5635,1,1,0.639,1,1,0.6351,1,-7.5,47.5,4,2021,1,0,"Pac-12","Pac-12",-320,260,0,0,0.954545454545455,0.0635,0.761904761904762,0.277777777777778,-0.122904761904762,0.0832222222222222,0,1,0,0,0.65625,0.0832222222222222,1,1.90909090909091,0.954545454545455,0.1351
"9",1,401282643,"NC State","Clemson",0.3659,0,1,0.3143,0,1,0.647,1,10.5,47.5,4,2021,1,0,"ACC","ACC",290,-380,0,0,0.954545454545455,0.1341,0.256410256410256,0.791666666666667,0.0578897435897436,-0.105966666666667,1,0,1,3.9,1.95,0.0578897435897436,1,1.90909090909091,0.954545454545455,0.147
"10",0,401282756,"Iowa","Colorado State",0.3713,0,1,0.7283,1,0,0.4876,0,-23.5,43.5,4,2021,1,0,"Big Ten","Mountain West",-2500,1050,1,1.90909090909091,0.954545454545455,0.1287,0.961538461538462,0.0869565217391304,-0.233238461538462,0.18474347826087,0,1,0,0,0.52,0.18474347826087,1,1.90909090909091,0.954545454545455,0.0124
