"","x"
"1","t2_rol_ou_err_l20"
"2","t1_rol_ou_err_l20"
"3","t2_.rol_pass_EPA_pp_off_l3_diffl20"
"4","book_over_under"
"5","t1_.rol_pass_EPA_pp_off_l3_diffl20"
"6","t1_.rol_run_EPA_pp_def_l3_diffl20"
"7","t1_.rol_pass_success_pp_def_l3"
"8","t1_.rol_play_count_pg_def_l3_diffl20"
"9","t1_.rol_run_success_pp_def_l1_oa"
"10","t1_.rol_pass_success_pp_def_l20_oa"
"11","t1_.rol_EPA_pp_def_l20"
"12","t2_.rol_EPA_pp_def_l20"
"13","t2_.rol_play_count_pg_def_l3_oa"
"14","t2_.rol_play_count_pg_def_l3_diffl20"
"15","t1_.rol_wpa_pp_off_l3_oa_diffl20"
"16","t2_rol_pf_pg_l1"
"17","t2_.rol_turnover_pg_def_l1_oa"
"18","t1_rol_opp_elo_l20"
"19","t2_.rol_pass_success_pp_def_l3"
"20","t2_.rol_punt_pg_off_l3_oa"
"21","t1_.rol_run_wpa_pp_def_l20"
"22","t1_rol_ou_err_l3"
"23","t1_.rol_run_EPA_pp_def_l1"
"24","t1_.rol_pass_wpa_pp_off_l3_diffl20"
"25","t1_.rol_run_EPA_pp_off_l20"
"26","t2_.rol_wpa_pp_def_l1_oa"
"27","t2_.rol_pass_success_pp_off_l1"
"28","t2_.rol_play_count_pg_def_l1"
"29","t1_.rol_turnover_pg_def_l1_oa"
"30","t2_.rol_pass_success_pp_def_l20_oa"
"31","t2_rol_spr_err_l3"
"32","t2_.rol_run_wpa_pp_off_l20"
"33","t2_rol_record_l3_oa_diffl20"
"34","t1_.rol_pass_success_pp_def_l20"
"35","t2_.rol_turnover_pg_off_l20_oa"
"36","t1_elo"
"37","t2_.rol_sack_pg_def_l3_oa"
"38","t1_.rol_wpa_pp_def_l1_oa"
"39","t2_.rol_run_success_pp_def_l20"
"40","t2_rol_record_ha_l20_oa"
"41","t2_.rol_punt_pg_off_l3_diffl20"
"42","t1_.rol_wpa_pp_off_l20"
"43","t2_.rol_wpa_pp_def_l20_oa"
"44","t1_.rol_EPA_pp_def_l1"
"45","t2_.rol_run_EPA_pp_def_l3_oa_diffl20"
"46","t2_rol_ou_err_l3"
"47","t1_rol_opp_talent_l20"
"48","t1_.rol_play_count_pg_def_l3_oa"
"49","t1_.rol_pass_success_pp_off_l3"
"50","t1_rol_opp_talent_l3"
"51","t2_rol_pa_pg_l1_oa"
"52","t1_.rol_success_pp_off_l20_oa"
"53","t1_.rol_punt_pg_off_l3_oa_diffl20"
"54","t1_.rol_turnover_pg_def_l20_oa"
"55","t2_.rol_pass_EPA_pp_off_l1_oa"
"56","t2_.rol_success_pp_off_l1_oa"
"57","t2_.rol_EPA_pp_def_l1"
"58","t2_.rol_pass_success_pp_off_l20"
"59","t1_.rol_play_count_pg_def_l20_oa"
"60","t2_rol_pf_pg_l1_oa"
"61","t1_.rol_turnover_pg_off_l20_oa"
"62","t2_.rol_sack_pg_off_l3_oa_diffl20"
"63","t1_.rol_wpa_pp_off_l20_oa"
"64","t1_.rol_run_success_pp_def_l20"
"65","t1_.rol_EPA_pp_off_l3_oa_diffl20"
"66","t2_.rol_run_success_pp_off_l20_oa"
"67","t2_.rol_pass_success_pp_def_l20"
"68","t2_rol_opp_talent_l1"
"69","t2_.rol_run_EPA_pp_off_l1"
"70","t1_rol_pa_pg_ha_l20"
"71","t1_.rol_touchdown_pg_def_l20_oa"
"72","t1_.rol_pass_pp_off_l20_oa"
"73","t1_.rol_pass_success_pp_off_l1"
"74","t2_.rol_pass_wpa_pp_off_l3_diffl20"
