"","x"
"1","t1_book_spread"
"2","t1_.rol_play_count_pg_off_l3_diffl20"
"3","t2_.rol_play_count_pg_off_l3_diffl20"
"4","t2_.rol_play_count_pg_off_l20"
"5","t2_.rol_play_count_pg_def_l3_diffl20"
"6","t1_.rol_play_count_pg_off_l20"
"7","t2_elo"
"8","t1_.rol_play_count_pg_def_l20"
"9","t2_.rol_play_count_pg_def_l20"
"10","t1_.rol_punt_pg_def_l3_oa_diffl20"
"11","t1_.rol_play_count_pg_def_l3_diffl20"
"12","t2_.rol_punt_pg_def_l3_oa_diffl20"
"13","t1_.rol_touchdown_pg_off_l20"
"14","t1_rol_pa_pg_ha_l20"
"15","t2_rol_pa_pg_l3_oa"
"16","t1_elo"
"17","t1_.rol_wpa_pp_off_l20_oa"
"18","t1_talent"
"19","t2_rol_pa_pg_ha_l20"
"20","t2_home"
"21","t2_.rol_touchdown_pg_off_l20"
"22","t2_rol_pa_pg_l20"
"23","t2_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"24","t1_.rol_pass_wpa_pp_def_l3_oa_diffl20"
"25","t2_.rol_pass_success_pp_def_l3_oa_diffl20"
"26","t1_home"
"27","t1_rank_tier"
"28","t1_rol_pa_pg_l3_oa"
"29","t1_.rol_run_success_pp_def_l20_oa"
"30","t2_rol_pf_pg_ha_l20"
"31","t1_.rol_success_pp_off_l3_oa"
"32","t2_.rol_sack_pg_def_l1_oa"
"33","t2_.rol_pass_wpa_pp_def_l3"
"34","t2_.rol_wpa_pp_off_l20_oa"
"35","t1_rol_record_ha_l20"
"36","t2_.rol_turnover_pg_def_l20_oa"
"37","t1_.rol_pass_wpa_pp_def_l3"
"38","t1_.rol_punt_pg_def_l1_oa"
"39","t2_.rol_pass_wpa_pp_def_l3_oa"
"40","t2_.rol_pass_pp_def_l1"
"41","t2_.rol_run_success_pp_def_l3"
"42","t2_.rol_run_success_pp_def_l1_oa"
"43","t1_.rol_run_success_pp_def_l3_oa"
"44","t2_.rol_run_wpa_pp_def_l1_oa"
"45","t2_.rol_pass_wpa_pp_off_l20_oa"
"46","t2_.rol_pass_wpa_pp_def_l1"
"47","t1_.rol_punt_pg_def_l3_diffl20"
"48","t2_.rol_pass_EPA_pp_off_l3_oa"
"49","t2_.rol_sack_pg_def_l20"
"50","t2_.rol_pass_pp_def_l20_oa"
"51","t2_rol_pa_pg_ha_l20_oa"
"52","t2_.rol_punt_pg_off_l20_oa"
"53","t2_talent"
"54","t1_.rol_success_pp_def_l20"
"55","t1_.rol_run_wpa_pp_def_l1_oa"
"56","t1_.rol_punt_pg_off_l3_oa_diffl20"
"57","t1_.rol_sack_pg_def_l1_oa"
"58","t2_rol_opp_elo_l3"
"59","t2_rol_record_l20_oa"
"60","t1_.rol_wpa_pp_def_l1"
"61","t1_.rol_run_wpa_pp_off_l3"
"62","t1_.rol_pass_success_pp_def_l3_oa_diffl20"
"63","t1_.rol_pass_pp_off_l3_diffl20"
"64","t2_.rol_wpa_pp_off_l3_oa"
"65","t1_.rol_pass_wpa_pp_off_l20_oa"
"66","t1_.rol_pass_success_pp_def_l3_oa"
"67","t2_.rol_run_EPA_pp_def_l3_oa_diffl20"
"68","t2_rol_ou_err_l3"
"69","t1_rol_pa_pg_ha_l20_oa"
"70","t2_.rol_turnover_pg_off_l3_diffl20"
"71","t2_.rol_play_count_pg_off_l3_oa_diffl20"
"72","t2_.rol_touchdown_pg_off_l20_oa"
"73","t2_.rol_pass_success_pp_off_l20_oa"
"74","t1_.rol_run_EPA_pp_off_l1"
"75","t1_.rol_touchdown_pg_off_l3_oa_diffl20"
"76","t2_.rol_wpa_pp_off_l20"
"77","t1_rol_pf_pg_l3"
"78","t1_.rol_punt_pg_off_l3_diffl20"
"79","t2_.rol_run_success_pp_def_l1"
"80","t2_.rol_punt_pg_def_l20_oa"
"81","t1_.rol_pass_pp_off_l3_oa"
"82","t2_.rol_pass_success_pp_off_l3_diffl20"
"83","t1_.rol_turnover_pg_off_l1"
"84","t1_rol_pa_pg_l1_oa"
"85","t2_.rol_punt_pg_off_l20"
"86","t1_.rol_run_success_pp_def_l3_diffl20"
"87","t1_.rol_run_success_pp_def_l3"
"88","t2_.rol_touchdown_pg_def_l3_diffl20"
"89","t2_.rol_wpa_pp_off_l1_oa"
"90","t1_.rol_play_count_pg_off_l1"
"91","t1_.rol_pass_success_pp_off_l3_diffl20"
"92","t1_.rol_run_wpa_pp_def_l1"
"93","t1_.rol_touchdown_pg_def_l20"
"94","t1_rol_pf_pg_ha_l20"
"95","t1_.rol_play_count_pg_off_l3_oa"
"96","t2_.rol_run_success_pp_def_l20"
"97","t1_.rol_success_pp_def_l1_oa"
"98","t2_.rol_run_success_pp_def_l20_oa"
"99","t1_.rol_play_count_pg_def_l1"
"100","t1_rol_record_l20_oa"
"101","t2_.rol_touchdown_pg_off_l3_oa_diffl20"
"102","t2_.rol_play_count_pg_def_l3_oa"
"103","t1_.rol_wpa_pp_def_l20_oa"
"104","t1_.rol_turnover_pg_off_l3_diffl20"
"105","t1_rol_pa_pg_l20_oa"
"106","t2_.rol_play_count_pg_off_l1"
"107","t1_.rol_run_EPA_pp_def_l20"
"108","t2_.rol_sack_pg_def_l3"
"109","t2_.rol_run_EPA_pp_off_l1_oa"
"110","t1_.rol_wpa_pp_def_l3_diffl20"
"111","t1_.rol_pass_wpa_pp_off_l1"
"112","t2_rol_ou_err_l20"
"113","t2_.rol_pass_success_pp_def_l1_oa"
"114","t1_.rol_sack_pg_off_l3_diffl20"
"115","t1_.rol_play_count_pg_off_l20_oa"
"116","t2_.rol_wpa_pp_def_l3_oa"
"117","t2_.rol_run_wpa_pp_def_l3_oa"
"118","t2_.rol_wpa_pp_def_l20_oa"
"119","t1_.rol_pass_EPA_pp_off_l3"
"120","t1_.rol_sack_pg_def_l20"
"121","t1_.rol_wpa_pp_off_l20"
"122","t1_.rol_run_EPA_pp_def_l3_oa_diffl20"
"123","t1_.rol_pass_pp_def_l1_oa"
"124","t1_.rol_sack_pg_def_l3_oa"
"125","t2_.rol_run_EPA_pp_def_l20_oa"
"126","t2_.rol_play_count_pg_off_l20_oa"
"127","t1_.rol_sack_pg_off_l20_oa"
"128","t1_rol_ou_err_l3"
"129","t1_.rol_sack_pg_def_l20_oa"
"130","t1_rol_pf_pg_ha_l20_oa"
"131","t2_rol_pa_pg_l1_oa"
"132","t2_.rol_pass_pp_off_l1"
"133","t1_rol_spr_err_l3"
"134","t2_.rol_pass_wpa_pp_off_l1_oa"
"135","t1_.rol_play_count_pg_def_l3"
"136","t1_.rol_sack_pg_off_l20"
"137","t2_.rol_wpa_pp_def_l1_oa"
"138","t1_.rol_wpa_pp_def_l3_oa_diffl20"
"139","t2_.rol_pass_pp_off_l3_diffl20"
"140","t1_.rol_run_EPA_pp_def_l1"
"141","t1_rol_pa_pg_l20"
"142","t1_.rol_play_count_pg_def_l3_oa_diffl20"
"143","t2_.rol_success_pp_off_l1_oa"
"144","t2_.rol_sack_pg_off_l3_oa_diffl20"
"145","t1_.rol_touchdown_pg_def_l3_diffl20"
