"","school","color","logo"
"1","Air Force","#004a7b","http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png"
"2","Akron","#00285e","http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png"
"3","Alabama","#9e1632","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"4","App State","#ffcc00","http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png"
"5","Arizona","#0c234b","http://a.espncdn.com/i/teamlogos/ncaa/500/12.png"
"6","Arizona State","#8e0c3a","http://a.espncdn.com/i/teamlogos/ncaa/500/9.png"
"7","Arkansas","#a41f35","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png"
"8","Arkansas State","#e81018","http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png"
"9","Army","#ce9c00","http://a.espncdn.com/i/teamlogos/ncaa/500/349.png"
"10","Auburn","#002b5c","http://a.espncdn.com/i/teamlogos/ncaa/500/2.png"
"11","Ball State","#DA0000","http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png"
"12","Baylor","#154734","http://a.espncdn.com/i/teamlogos/ncaa/500/239.png"
"13","Boise State","#0033a0","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"14","Boston College","#8c2232","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png"
"15","Bowling Green","#2b1000","http://a.espncdn.com/i/teamlogos/ncaa/500/189.png"
"16","Buffalo","#041A9B","http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png"
"17","BYU","#003da5","http://a.espncdn.com/i/teamlogos/ncaa/500/252.png"
"18","California","#031522","http://a.espncdn.com/i/teamlogos/ncaa/500/25.png"
"19","Central Michigan","#6a0032","http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png"
"20","Charlotte","#046A38","http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png"
"21","Cincinnati","#E00122","http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png"
"22","Clemson","#f56600","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"23","Coastal Carolina","#007073","http://a.espncdn.com/i/teamlogos/ncaa/500/324.png"
"24","Colorado","#CFB87C","http://a.espncdn.com/i/teamlogos/ncaa/500/38.png"
